locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEAHBEAM_01028	CDS	543	zapC			Cell division protein ZapC
OEAHBEAM_01029	CDS	1110	ycbX		COG0633	putative protein YcbX
OEAHBEAM_01030	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
OEAHBEAM_01031	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
OEAHBEAM_01032	CDS	1254	pqiA		COG2995	Intermembrane transport protein PqiA
OEAHBEAM_01033	CDS	1641	pqiB		COG3008	Intermembrane transport protein PqiB
OEAHBEAM_01034	CDS	564	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
OEAHBEAM_01035	CDS	168	rmf		COG3130	Ribosome modulation factor
OEAHBEAM_01036	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
OEAHBEAM_01037	CDS	1761	lon_2	3.4.21.53		Lon protease
OEAHBEAM_01038	CDS	453	matP		COG3120	Macrodomain Ter protein
OEAHBEAM_01039	CDS	1041	ompA		COG2885	Outer membrane protein A
OEAHBEAM_01040	CDS	510	sulA		COG5404	Cell division inhibitor SulA
OEAHBEAM_01041	CDS	630	sxy		COG3070	Protein Sxy
OEAHBEAM_01042	CDS	2163	yccS		COG1289	Inner membrane protein YccS
OEAHBEAM_01043	CDS	447	yccF		COG3304	Inner membrane protein YccF
OEAHBEAM_01044	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
OEAHBEAM_01045	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
OEAHBEAM_01046	CDS	663				hypothetical protein
OEAHBEAM_01047	CDS	414	yccU		COG1832	putative protein YccU
OEAHBEAM_01048	CDS	318	hspQ		COG3785	Heat shock protein HspQ
OEAHBEAM_01049	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
OEAHBEAM_01050	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
OEAHBEAM_01051	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
OEAHBEAM_01052	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
OEAHBEAM_01053	CDS	1020				hypothetical protein
OEAHBEAM_01054	CDS	243				hypothetical protein
OEAHBEAM_01055	CDS	2472				hypothetical protein
OEAHBEAM_01056	CDS	192				hypothetical protein
OEAHBEAM_01057	CDS	189				hypothetical protein
OEAHBEAM_01058	CDS	186				hypothetical protein
OEAHBEAM_01059	CDS	390				hypothetical protein
OEAHBEAM_01060	CDS	129	ydfB			putative protein YdfB
OEAHBEAM_01061	CDS	156				hypothetical protein
OEAHBEAM_01062	CDS	192				hypothetical protein
OEAHBEAM_01063	CDS	402				hypothetical protein
OEAHBEAM_01064	CDS	273				hypothetical protein
OEAHBEAM_01065	CDS	426				hypothetical protein
OEAHBEAM_01066	CDS	456				hypothetical protein
OEAHBEAM_01067	CDS	1092				hypothetical protein
OEAHBEAM_01068	CDS	747	dnaC_1		COG1484	DNA replication protein DnaC
OEAHBEAM_01069	CDS	771				hypothetical protein
OEAHBEAM_01070	CDS	414				hypothetical protein
OEAHBEAM_01071	CDS	774				hypothetical protein
OEAHBEAM_01072	CDS	138				hypothetical protein
OEAHBEAM_01073	CDS	213				hypothetical protein
OEAHBEAM_01074	CDS	1050				hypothetical protein
OEAHBEAM_01075	CDS	372	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
OEAHBEAM_01076	CDS	372				hypothetical protein
OEAHBEAM_01077	CDS	819				hypothetical protein
OEAHBEAM_01078	CDS	240				hypothetical protein
OEAHBEAM_01079	CDS	588	gadW_1			HTH-type transcriptional regulator GadW
OEAHBEAM_01080	tRNA	76				tRNA-Met(cat)
OEAHBEAM_01081	tRNA	77				tRNA-Arg(tcg)
OEAHBEAM_01082	tRNA	77				tRNA-Arg(tct)
OEAHBEAM_01083	CDS	1851				hypothetical protein
OEAHBEAM_01084	CDS	327				IS3 family transposase ISEc25
OEAHBEAM_01085	CDS	651				hypothetical protein
OEAHBEAM_01086	CDS	315				hypothetical protein
OEAHBEAM_01087	CDS	525				hypothetical protein
OEAHBEAM_01088	CDS	114				hypothetical protein
OEAHBEAM_01089	CDS	534	rrrD_2	3.2.1.17	COG3772	Lysozyme RrrD
OEAHBEAM_01090	CDS	273				hypothetical protein
OEAHBEAM_01091	CDS	207				hypothetical protein
OEAHBEAM_01092	CDS	276				hypothetical protein
OEAHBEAM_01093	CDS	381				hypothetical protein
OEAHBEAM_01094	CDS	348				hypothetical protein
OEAHBEAM_01095	CDS	1539				IS66 family transposase ISEc8
OEAHBEAM_01096	CDS	117				hypothetical protein
OEAHBEAM_01097	CDS	1965				hypothetical protein
OEAHBEAM_01098	CDS	207				hypothetical protein
OEAHBEAM_01099	CDS	1593				hypothetical protein
OEAHBEAM_01100	CDS	1506				hypothetical protein
OEAHBEAM_01101	CDS	348				hypothetical protein
OEAHBEAM_01102	CDS	267				hypothetical protein
OEAHBEAM_01103	CDS	630				hypothetical protein
OEAHBEAM_01104	CDS	432				hypothetical protein
OEAHBEAM_01105	CDS	414				hypothetical protein
OEAHBEAM_01106	CDS	2580				hypothetical protein
OEAHBEAM_01107	CDS	330				hypothetical protein
OEAHBEAM_01108	CDS	699				hypothetical protein
OEAHBEAM_01109	CDS	744				hypothetical protein
OEAHBEAM_01110	CDS	582				hypothetical protein
OEAHBEAM_01111	CDS	528	sodC1_1	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn] 1
OEAHBEAM_01112	CDS	3474				hypothetical protein
OEAHBEAM_01113	CDS	600	ompX_3		COG3637	Outer membrane protein X
OEAHBEAM_01114	CDS	1314				hypothetical protein
OEAHBEAM_01115	CDS	270				hypothetical protein
OEAHBEAM_01116	CDS	711	espF(U)_1			Secreted effector protein EspF(U)
OEAHBEAM_01117	CDS	183				hypothetical protein
OEAHBEAM_01118	tRNA	88				tRNA-Ser(tga)
OEAHBEAM_01119	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
OEAHBEAM_01120	CDS	1794	hyaB	1.12.99.6	COG0374	Hydrogenase-1 large chain
OEAHBEAM_01121	CDS	708	hyaC		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
OEAHBEAM_01122	CDS	588	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
OEAHBEAM_01123	CDS	399	hyaE			Hydrogenase-1 operon protein HyaE
OEAHBEAM_01124	CDS	858				hypothetical protein
OEAHBEAM_01125	CDS	1545	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
OEAHBEAM_01126	CDS	1137	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
OEAHBEAM_01127	CDS	93	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
OEAHBEAM_01128	CDS	1299	appA			Periplasmic AppA protein
OEAHBEAM_01129	CDS	2181	etk	2.7.10.-	COG0489	Tyrosine-protein kinase etk
OEAHBEAM_01130	CDS	447	etp	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Etp
OEAHBEAM_01131	CDS	1140				hypothetical protein
OEAHBEAM_01132	CDS	2097				hypothetical protein
OEAHBEAM_01133	CDS	747				hypothetical protein
OEAHBEAM_01134	CDS	645	gfcB_1			putative lipoprotein GfcB
OEAHBEAM_01135	CDS	306	gfcA			Threonine-rich inner membrane protein GfcA
OEAHBEAM_01136	CDS	213	cspG		COG1278	Cold shock-like protein CspG
OEAHBEAM_01137	CDS	174	gnsA			Protein GnsA
OEAHBEAM_01138	CDS	1074	yccM		COG0348	Putative electron transport protein YccM
OEAHBEAM_01139	CDS	2700	torS	2.7.13.3	COG0784	Sensor protein TorS
OEAHBEAM_01140	CDS	1029	torT		COG1879	Periplasmic protein TorT
OEAHBEAM_01141	CDS	693	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
OEAHBEAM_01142	CDS	1173	torC		COG3005	Cytochrome c-type protein TorC
OEAHBEAM_01143	CDS	2547	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
OEAHBEAM_01144	CDS	600	torD		COG3381	Chaperone protein TorD
OEAHBEAM_01145	CDS	306	cbpM			Chaperone modulatory protein CbpM
OEAHBEAM_01146	CDS	921	cbpA		COG2214	Curved DNA-binding protein
OEAHBEAM_01147	CDS	900				hypothetical protein
OEAHBEAM_01148	CDS	249				hypothetical protein
OEAHBEAM_01149	CDS	1242	agp	3.1.3.10		Glucose-1-phosphatase
OEAHBEAM_01150	CDS	228	yccJ			putative protein YccJ
OEAHBEAM_01151	CDS	579	wrbA	1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
OEAHBEAM_01152	CDS	1311	intQ_1		COG0582	Putative defective protein IntQ
OEAHBEAM_01153	CDS	285				hypothetical protein
OEAHBEAM_01154	CDS	300				hypothetical protein
OEAHBEAM_01155	CDS	285				hypothetical protein
OEAHBEAM_01156	CDS	624				hypothetical protein
OEAHBEAM_01157	CDS	288				hypothetical protein
OEAHBEAM_01158	CDS	219				hypothetical protein
OEAHBEAM_01159	CDS	216				hypothetical protein
OEAHBEAM_01160	CDS	189				hypothetical protein
OEAHBEAM_01161	CDS	774				hypothetical protein
OEAHBEAM_01162	CDS	222				hypothetical protein
OEAHBEAM_01163	CDS	216				hypothetical protein
OEAHBEAM_01164	CDS	192				hypothetical protein
OEAHBEAM_01165	CDS	183				hypothetical protein
OEAHBEAM_01166	CDS	681				hypothetical protein
OEAHBEAM_01167	CDS	786				hypothetical protein
OEAHBEAM_01168	CDS	297				hypothetical protein
OEAHBEAM_01169	CDS	144				hypothetical protein
OEAHBEAM_01170	CDS	165				hypothetical protein
OEAHBEAM_01171	CDS	369				hypothetical protein
OEAHBEAM_01172	CDS	252				hypothetical protein
OEAHBEAM_01173	CDS	273				hypothetical protein
OEAHBEAM_01174	CDS	183				hypothetical protein
OEAHBEAM_01175	CDS	522				hypothetical protein
OEAHBEAM_01176	CDS	654			COG1974	putative HTH-type transcriptional regulator
OEAHBEAM_01177	CDS	216				hypothetical protein
OEAHBEAM_01178	CDS	297				hypothetical protein
OEAHBEAM_01179	CDS	147				hypothetical protein
OEAHBEAM_01180	CDS	900				hypothetical protein
OEAHBEAM_01181	CDS	1437	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
OEAHBEAM_01182	CDS	270				hypothetical protein
OEAHBEAM_01183	CDS	279				hypothetical protein
OEAHBEAM_01184	CDS	216				hypothetical protein
OEAHBEAM_01185	CDS	237				hypothetical protein
OEAHBEAM_01186	CDS	447				hypothetical protein
OEAHBEAM_01187	CDS	528				hypothetical protein
OEAHBEAM_01188	CDS	735				hypothetical protein
OEAHBEAM_01189	CDS	723				hypothetical protein
OEAHBEAM_01190	CDS	606				hypothetical protein
OEAHBEAM_01191	CDS	195				hypothetical protein
OEAHBEAM_01192	CDS	435				hypothetical protein
OEAHBEAM_01193	tRNA	76				tRNA-Met(cat)
OEAHBEAM_01194	tRNA	77				tRNA-Arg(tcg)
OEAHBEAM_01195	tRNA	77				tRNA-Arg(tct)
OEAHBEAM_01196	CDS	960	stxA_1	3.2.2.22		Shiga toxin subunit A
OEAHBEAM_01197	CDS	270	stxB_1			Shiga toxin subunit B
OEAHBEAM_01198	CDS	1905				hypothetical protein
OEAHBEAM_01199	CDS	888				IS3 family transposase IS1203
OEAHBEAM_01200	CDS	327				IS3 family transposase ISEc25
OEAHBEAM_01201	CDS	270				hypothetical protein
OEAHBEAM_01202	CDS	180				hypothetical protein
OEAHBEAM_01203	CDS	273				hypothetical protein
OEAHBEAM_01204	CDS	216				hypothetical protein
OEAHBEAM_01205	CDS	534	rrrD_3	3.2.1.17	COG3772	Lysozyme RrrD
OEAHBEAM_01206	CDS	570				hypothetical protein
OEAHBEAM_01207	CDS	147				hypothetical protein
OEAHBEAM_01208	CDS	465				hypothetical protein
OEAHBEAM_01209	CDS	294				hypothetical protein
OEAHBEAM_01210	CDS	204				hypothetical protein
OEAHBEAM_01211	CDS	807				hypothetical protein
OEAHBEAM_01212	CDS	1707				hypothetical protein
OEAHBEAM_01213	CDS	2145				hypothetical protein
OEAHBEAM_01214	CDS	1008				hypothetical protein
OEAHBEAM_01215	CDS	1215				hypothetical protein
OEAHBEAM_01216	CDS	390				hypothetical protein
OEAHBEAM_01217	CDS	462				hypothetical protein
OEAHBEAM_01218	CDS	564				hypothetical protein
OEAHBEAM_01219	CDS	651				hypothetical protein
OEAHBEAM_01220	CDS	1938				hypothetical protein
OEAHBEAM_01221	CDS	270				hypothetical protein
OEAHBEAM_01222	CDS	189				hypothetical protein
OEAHBEAM_01223	CDS	1626				hypothetical protein
OEAHBEAM_01224	CDS	1269				hypothetical protein
OEAHBEAM_01225	CDS	279				hypothetical protein
OEAHBEAM_01226	CDS	618				hypothetical protein
OEAHBEAM_01227	CDS	735				hypothetical protein
OEAHBEAM_01228	CDS	141				hypothetical protein
OEAHBEAM_01229	CDS	402				hypothetical protein
OEAHBEAM_01230	CDS	657				hypothetical protein
OEAHBEAM_01231	CDS	447				hypothetical protein
OEAHBEAM_01232	CDS	252				hypothetical protein
OEAHBEAM_01233	CDS	1266				hypothetical protein
OEAHBEAM_01234	CDS	8382				hypothetical protein
OEAHBEAM_01235	CDS	96				hypothetical protein
OEAHBEAM_01236	CDS	345	ygiW_1		COG3111	Protein YgiW
OEAHBEAM_01237	CDS	213				hypothetical protein
OEAHBEAM_01238	CDS	396				hypothetical protein
OEAHBEAM_01239	CDS	660				hypothetical protein
OEAHBEAM_01240	CDS	219				hypothetical protein
OEAHBEAM_01241	CDS	285				hypothetical protein
OEAHBEAM_01242	CDS	222				hypothetical protein
OEAHBEAM_01243	CDS	630				hypothetical protein
OEAHBEAM_01244	CDS	108				hypothetical protein
OEAHBEAM_01245	CDS	1329	rutG		COG2233	Putative pyrimidine permease RutG
OEAHBEAM_01246	CDS	495	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
OEAHBEAM_01247	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
OEAHBEAM_01248	CDS	801	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
OEAHBEAM_01249	CDS	387	rutC	1.-.-.-	COG0251	Putative aminoacrylate peracid reductase RutC
OEAHBEAM_01250	CDS	696	rutB	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
OEAHBEAM_01251	CDS	1092	rutA	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
OEAHBEAM_01252	CDS	639	rutR		COG1309	HTH-type transcriptional regulator RutR
OEAHBEAM_01253	CDS	3963	putA		COG0506	Bifunctional protein PutA
OEAHBEAM_01254	CDS	210				hypothetical protein
OEAHBEAM_01255	CDS	1509	putP		COG0591	Sodium/proline symporter
OEAHBEAM_01256	CDS	1344				hypothetical protein
OEAHBEAM_01257	CDS	147				hypothetical protein
OEAHBEAM_01258	CDS	111	efeU_1		COG0672	Ferrous iron permease EfeU
OEAHBEAM_01259	CDS	720	efeU_2		COG0672	Ferrous iron permease EfeU
OEAHBEAM_01260	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
OEAHBEAM_01261	CDS	1272	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
OEAHBEAM_01262	CDS	1065	phoH		COG1702	Protein PhoH
OEAHBEAM_01263	CDS	414	pgaD			Biofilm PGA synthesis protein PgaD
OEAHBEAM_01264	CDS	1326	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
OEAHBEAM_01265	CDS	2019	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
OEAHBEAM_01266	CDS	2424	pgaA			Poly-beta-1,6-N-acetyl-D-glucosamine export protein
OEAHBEAM_01267	CDS	1359	dgcT	2.7.7.65		putative diguanylate cyclase DgcT
OEAHBEAM_01268	CDS	1611	pdeN_1	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
OEAHBEAM_01269	CDS	492				hypothetical protein
OEAHBEAM_01270	CDS	813				hypothetical protein
OEAHBEAM_01271	CDS	783	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
OEAHBEAM_01272	CDS	690	yadV_2			putative fimbrial chaperone YadV
OEAHBEAM_01273	CDS	1335				hypothetical protein
OEAHBEAM_01274	CDS	2523	elfC_2		COG3188	putative outer membrane usher protein ElfC
OEAHBEAM_01275	CDS	702	yadV_3			putative fimbrial chaperone YadV
OEAHBEAM_01276	CDS	561	smf-1		COG3539	Major fimbrial subunit SMF-1
OEAHBEAM_01277	CDS	624				hypothetical protein
OEAHBEAM_01278	CDS	111				hypothetical protein
OEAHBEAM_01279	CDS	3813	cdiA2	3.1.-.-		tRNA nuclease CdiA-2
OEAHBEAM_01280	CDS	1620				hypothetical protein
OEAHBEAM_01281	CDS	369	acpS_1	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
OEAHBEAM_01282	CDS	762	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
OEAHBEAM_01283	CDS	549				hypothetical protein
OEAHBEAM_01284	CDS	282				hypothetical protein
OEAHBEAM_01285	CDS	1161	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
OEAHBEAM_01286	CDS	2559				hypothetical protein
OEAHBEAM_01287	CDS	1224				hypothetical protein
OEAHBEAM_01288	CDS	954				hypothetical protein
OEAHBEAM_01289	CDS	708	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
OEAHBEAM_01290	CDS	657				hypothetical protein
OEAHBEAM_01291	CDS	1311				hypothetical protein
OEAHBEAM_01292	CDS	789				hypothetical protein
OEAHBEAM_01293	CDS	1389				hypothetical protein
OEAHBEAM_01294	CDS	942	pksC	2.3.1.39	COG0331	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase PksC
OEAHBEAM_01295	CDS	987				hypothetical protein
OEAHBEAM_01296	CDS	1203	intA_1		COG0582	Prophage integrase IntA
OEAHBEAM_01297	CDS	1818				hypothetical protein
OEAHBEAM_01298	CDS	1386				hypothetical protein
OEAHBEAM_01299	CDS	564				hypothetical protein
OEAHBEAM_01300	CDS	2361				hypothetical protein
OEAHBEAM_01301	CDS	270				hypothetical protein
OEAHBEAM_01302	CDS	1539				IS66 family transposase ISEc8
OEAHBEAM_01303	CDS	348				hypothetical protein
OEAHBEAM_01304	CDS	381				hypothetical protein
OEAHBEAM_01305	CDS	312			COG2826	IS30 family transposase IS30
OEAHBEAM_01306	CDS	819				IS3 family transposase ISSd1
OEAHBEAM_01307	CDS	540	ylpA_1			Lipoprotein YlpA
OEAHBEAM_01308	CDS	252				hypothetical protein
OEAHBEAM_01309	CDS	291				hypothetical protein
OEAHBEAM_01310	CDS	360	dgkA_1	2.7.1.107	COG0818	Diacylglycerol kinase
OEAHBEAM_01311	CDS	1620	eptA_1	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
OEAHBEAM_01312	CDS	276				hypothetical protein
OEAHBEAM_01313	CDS	699	ureD			Urease accessory protein UreD
OEAHBEAM_01314	CDS	303	ureA	3.5.1.5		Urease subunit gamma
OEAHBEAM_01315	CDS	321	ureB	3.5.1.5		Urease subunit beta
OEAHBEAM_01316	CDS	1704	ureC	3.5.1.5		Urease subunit alpha
OEAHBEAM_01317	CDS	465	ureE			Urease accessory protein UreE
OEAHBEAM_01318	CDS	675	ureF			Urease accessory protein UreF
OEAHBEAM_01319	CDS	618	ureG			Urease accessory protein UreG
OEAHBEAM_01320	CDS	342				hypothetical protein
OEAHBEAM_01321	CDS	129	ylpA_2			Lipoprotein YlpA
OEAHBEAM_01322	CDS	264	ykgM_2		COG0254	50S ribosomal protein L31 type B
OEAHBEAM_01323	CDS	141				hypothetical protein
OEAHBEAM_01324	CDS	672				hypothetical protein
OEAHBEAM_01325	CDS	486				IS66 family transposase ISEc49
OEAHBEAM_01326	CDS	426				hypothetical protein
OEAHBEAM_01327	CDS	351				hypothetical protein
OEAHBEAM_01328	CDS	1614				IS66 family transposase IS682
OEAHBEAM_01329	CDS	858				IS66 family transposase ISEc49
OEAHBEAM_01330	CDS	342				hypothetical protein
OEAHBEAM_01331	CDS	330				hypothetical protein
OEAHBEAM_01332	CDS	468				hypothetical protein
OEAHBEAM_01333	CDS	1209				hypothetical protein
OEAHBEAM_01334	CDS	957				hypothetical protein
OEAHBEAM_01335	CDS	1080	stiP	3.4.22.-		Cysteine protease StiP
OEAHBEAM_01336	CDS	774				hypothetical protein
OEAHBEAM_01337	CDS	1143				hypothetical protein
OEAHBEAM_01338	CDS	1059				hypothetical protein
OEAHBEAM_01339	CDS	582	yceD_1		COG2310	General stress protein 16U
OEAHBEAM_01340	CDS	1158				hypothetical protein
OEAHBEAM_01341	CDS	456				hypothetical protein
OEAHBEAM_01342	CDS	1041	alx_1		COG0861	Putative membrane-bound redox modulator Alx
OEAHBEAM_01343	CDS	579	yceD_2		COG2310	General stress protein 16U
OEAHBEAM_01344	CDS	576	yceD_3		COG2310	General stress protein 16U
OEAHBEAM_01345	CDS	309				hypothetical protein
OEAHBEAM_01346	CDS	2091	cirA_1		COG4771	Colicin I receptor
OEAHBEAM_01347	CDS	219				hypothetical protein
OEAHBEAM_01348	CDS	129				hypothetical protein
OEAHBEAM_01349	CDS	195				hypothetical protein
OEAHBEAM_01350	CDS	180				hypothetical protein
OEAHBEAM_01351	CDS	273				hypothetical protein
OEAHBEAM_01352	CDS	198				hypothetical protein
OEAHBEAM_01353	CDS	1125	elmGT	2.4.1.331		Elloramycin glycosyltransferase ElmGT
OEAHBEAM_01354	CDS	210			COG1662	IS1 family transposase IS1F
OEAHBEAM_01355	CDS	294				hypothetical protein
OEAHBEAM_01356	CDS	459				hypothetical protein
OEAHBEAM_01357	CDS	510				hypothetical protein
OEAHBEAM_01358	CDS	624				hypothetical protein
OEAHBEAM_01359	CDS	234				hypothetical protein
OEAHBEAM_01360	CDS	192				hypothetical protein
OEAHBEAM_01361	CDS	888				IS3 family transposase IS629
OEAHBEAM_01362	CDS	327				IS3 family transposase IS629
OEAHBEAM_01363	CDS	1047				hypothetical protein
OEAHBEAM_01364	CDS	516				hypothetical protein
OEAHBEAM_01365	CDS	2169	recD_1	3.1.11.5		RecBCD enzyme subunit RecD
OEAHBEAM_01366	CDS	1233	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
OEAHBEAM_01367	CDS	639	ybdM_2		COG1475	putative protein YbdM
OEAHBEAM_01368	CDS	645				hypothetical protein
OEAHBEAM_01369	CDS	501				hypothetical protein
OEAHBEAM_01370	CDS	249				IS3 family transposase IS629
OEAHBEAM_01371	CDS	426				hypothetical protein
OEAHBEAM_01372	CDS	90				hypothetical protein
OEAHBEAM_01373	CDS	183				hypothetical protein
OEAHBEAM_01374	CDS	873	era_1			GTPase Era
OEAHBEAM_01375	CDS	2850	flu		COG3468	Antigen 43
OEAHBEAM_01376	CDS	2385	crfC_1		COG0699	Clamp-binding protein CrfC
OEAHBEAM_01377	CDS	906				hypothetical protein
OEAHBEAM_01378	CDS	1071				hypothetical protein
OEAHBEAM_01379	CDS	819				hypothetical protein
OEAHBEAM_01380	CDS	486	klcA_1			Antirestriction protein KlcA
OEAHBEAM_01381	CDS	477				hypothetical protein
OEAHBEAM_01382	CDS	222				hypothetical protein
OEAHBEAM_01383	CDS	114				hypothetical protein
OEAHBEAM_01384	CDS	375	cbeA_1			Cytoskeleton bundling-enhancing antitoxin CbeA
OEAHBEAM_01385	CDS	375	cbtA_1			Cytoskeleton-binding toxin CbtA
OEAHBEAM_01386	CDS	492				hypothetical protein
OEAHBEAM_01387	CDS	198				hypothetical protein
OEAHBEAM_01388	CDS	843				hypothetical protein
OEAHBEAM_01389	tRNA	88				tRNA-Ser(gga)
OEAHBEAM_01390	CDS	939	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
OEAHBEAM_01391	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
OEAHBEAM_01392	CDS	555	ycdY		COG3381	Chaperone protein YcdY
OEAHBEAM_01393	CDS	522	ycdZ			Inner membrane protein YcdZ
OEAHBEAM_01394	CDS	834	csgG		COG1462	Curli production assembly/transport component CsgG
OEAHBEAM_01395	CDS	417	csgF			Curli production assembly/transport component CsgF
OEAHBEAM_01396	CDS	390	csgE			Curli production assembly/transport component CsgE
OEAHBEAM_01397	CDS	651	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
OEAHBEAM_01398	CDS	456	csgB			Minor curlin subunit
OEAHBEAM_01399	CDS	459	csgA			Major curlin subunit
OEAHBEAM_01400	CDS	333	csgC			Curli assembly protein CsgC
OEAHBEAM_01401	CDS	312	ymdA			putative protein YmdA
OEAHBEAM_01402	CDS	534	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
OEAHBEAM_01403	CDS	1482	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
OEAHBEAM_01404	CDS	1158	mdoC	2.1.-.-		Glucans biosynthesis protein C
OEAHBEAM_01405	CDS	1503	mdoG		COG3131	Glucans biosynthesis protein G
OEAHBEAM_01406	CDS	2514	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
OEAHBEAM_01407	CDS	228				hypothetical protein
OEAHBEAM_01408	CDS	375				hypothetical protein
OEAHBEAM_01409	CDS	1227	sbnD			Staphyloferrin B transporter
OEAHBEAM_01410	CDS	921	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
OEAHBEAM_01411	CDS	1053				hypothetical protein
OEAHBEAM_01412	CDS	576	yceI		COG2353	Protein YceI
OEAHBEAM_01413	CDS	567	yceJ		COG3038	Cytochrome b561 
OEAHBEAM_01414	CDS	114	yceO			putative protein YceO
OEAHBEAM_01415	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
OEAHBEAM_01416	CDS	255	bssS			Biofilm regulator BssS
OEAHBEAM_01417	CDS	246	dinI_1			DNA damage-inducible protein I
OEAHBEAM_01418	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
OEAHBEAM_01419	CDS	561	yceB			putative lipoprotein YceB
OEAHBEAM_01420	CDS	648	grxB		COG2999	Glutaredoxin 2
OEAHBEAM_01421	CDS	1209	mdtH			Multidrug resistance protein MdtH
OEAHBEAM_01422	CDS	585	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
OEAHBEAM_01423	CDS	648				hypothetical protein
OEAHBEAM_01424	CDS	924	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
OEAHBEAM_01425	CDS	1536	murJ		COG0728	Lipid II flippase MurJ
OEAHBEAM_01426	CDS	417	flgN		COG3418	Flagella synthesis protein FlgN
OEAHBEAM_01427	CDS	294	flgM		COG2747	Negative regulator of flagellin synthesis
OEAHBEAM_01428	CDS	660	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
OEAHBEAM_01429	CDS	417	flgB		COG1815	Flagellar basal body rod protein FlgB
OEAHBEAM_01430	CDS	405	flgC		COG1558	Flagellar basal-body rod protein FlgC
OEAHBEAM_01431	CDS	696	flgD		COG1843	Basal-body rod modification protein FlgD
OEAHBEAM_01432	CDS	1206	flgE		COG1749	Flagellar hook protein FlgE
OEAHBEAM_01433	CDS	756	flgF		COG4787	Flagellar basal-body rod protein FlgF
OEAHBEAM_01434	CDS	783	flgG		COG4786	Flagellar basal-body rod protein FlgG
OEAHBEAM_01435	CDS	699	flgH			Flagellar L-ring protein
OEAHBEAM_01436	CDS	1098	flgI			Flagellar P-ring protein
